"http://www\.youtube\.com/channel/UC3XczAN5TP0\-dxMaE0cPW3Q",55
"http://www\.youtube\.com/channel/UC3Z9GxYVp5wAS7v\-Jrdapvw",56
"http://www\.youtube\.com/channel/UC4bLCWCGhyv9zByHor0P\-mw",57
"http://www\.youtube\.com/channel/UC4hM4FBs4PdL2xJZQ_X5WEA",58
"http://www\.youtube\.com/channel/UC4k1AJU4ai\-rAy9HpAaAegg",59
"http://www\.youtube\.com/channel/UC4ljSxNW5yR8_9tC8P8Ji6g",60
"http://www\.youtube\.com/channel/UC4NeKyunYSOWFWSQCHFptMQ",61
"http://www\.youtube\.com/channel/UC4oud3xdt2U6vT6OGdqcDgA",62
"http://www\.youtube\.com/channel/UC4U_TZDHCId\-PqPn509w5cw",63
"http://www\.youtube\.com/channel/UC521xQeeRL13gAzEZulYxTw",64
"http://www\.youtube\.com/channel/UC549pp5XT15M2xv3vDloFsQ",65
"http://www\.youtube\.com/channel/UC54ioDK_y4oFlZoNsnC9Mug",66
"http://www\.youtube\.com/channel/UC5bW\-pSofu7nMGjbGWR_FLw",67
"http://www\.youtube\.com/channel/UC5G0ZhqY9ZXM0JjsVce1xIg",68
"http://www\.youtube\.com/channel/UC5GCRBwhhZXSJ20ke1xWHUQ",69
"http://www\.youtube\.com/channel/UC5oPCy75Sgz\-JFa_XPuOR7g",70
"http://www\.youtube\.com/channel/UC5SCaeQFwAONpSwMWQnOugQ",71
"http://www\.youtube\.com/channel/UC5uDBfJddnoJOjjbb1rVyVQ",72
"http://www\.youtube\.com/channel/UC6_GbTP_bBJ0QU5Ln_pJB_A",73
"http://www\.youtube\.com/channel/UC6_j9rLXf0vKKLVBEXFG_Pw",74
"http://www\.youtube\.com/channel/UC63Lne\-amvS_rzUle26WJeA",75
"http://www\.youtube\.com/channel/UC662hXojQ7NJS2_k4k1dYdQ",76
"http://www\.youtube\.com/channel/UC6aipqjIblvF3z88p2K1JRg",77
"http://www\.youtube\.com/channel/UC6CM6Lb\-768oX9MkdoPV\-1A",78
"http://www\.youtube\.com/channel/UC6jmtRSc042kOvomib7mDjg",79
"http://www\.youtube\.com/channel/UC6JPfnvXAcmwJSmGV0TSBpQ",80
"http://www\.youtube\.com/channel/UC6Tr0L1ip6R0y1g6gwp9qIQ",81
"http://www\.youtube\.com/channel/UC6yHxG8tIp2B17ir0\-mC70w",82
